Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Hydroelectric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Nuclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Oil, gas and coal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Renewable sources, excluding hydroelectric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Coal,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,Hydroelectric,,,,,,,,,,,,57.1,62.1,66.2,68.4,71.9,74.5,76.5,77.4,78.8,79.4,81.3,83,84.7,73.7,67.7,79.5,76.2,73.8,74.7,86.4,92.1,95.1,93.9,95.7,94,95.7,96.2,96.3,97.3,96.1,95.3,94,97.9,97.5,98.7,98.3,97.5,100,100,100,98.6,100,100,100,100
Albania,ALB,Gas,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,Nuclear,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Albania,ALB,Oil,,,,,,,,,,,,42.9,37.9,33.8,31.6,28.1,25.5,23.5,22.6,21.2,20.6,18.7,17,15.3,26.3,32.3,20.5,23.8,26.2,25.3,13.6,7.9,4.9,6.1,4.3,6,4.3,3.8,3.7,2.7,3.9,4.7,6,2.1,2.5,1.3,1.7,2.5,0,0,0,1.4,0,0,0,0
Albania,ALB,"Oil, gas and coal",,,,,,,,,,,,42.9,37.9,33.8,31.6,28.1,25.5,23.5,22.6,21.2,20.6,18.7,17,15.3,26.3,32.3,20.5,23.8,26.2,25.3,13.6,7.9,4.9,6.1,4.3,6,4.3,3.8,3.7,2.7,3.9,4.7,6,2.1,2.5,1.3,1.7,2.5,0,0,0,1.4,0,0,0,0
